subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,2,34,study,1,female,Black,female,White,neutral,,,,,z,758,True,False,,2,,,,False,84,BF-230,materials/cfd/Images/CFD/BF-230/CFD-BF-230-189-N.jpg,WF-244,materials/cfd/Images/CFD/WF-244/CFD-WF-244-163-N.jpg,z,2
1,2,35,study,1,female,White,female,White,neutral,,,,,z,1373,True,False,,2,,,,False,86,WF-229,materials/cfd/Images/CFD/WF-229/CFD-WF-229-004-N.jpg,WF-223,materials/cfd/Images/CFD/WF-223/CFD-WF-223-133-N.jpg,z,2
1,2,36,study,1,male,Asian,female,Black,angry,,,,,m,1214,True,False,,2,,,,False,88,AM-215,materials/cfd/Images/CFD/AM-215/CFD-AM-215-120-N.jpg,BF-019,materials/cfd/Images/CFD/BF-019/CFD-BF-019-023-A.jpg,m,2
1,2,37,study,1,male,Latino,male,Black,neutral,,,,,m,1987,True,False,,2,,,,False,90,LM-233,materials/cfd/Images/CFD/LM-233/CFD-LM-233-171-N.jpg,BM-041,materials/cfd/Images/CFD/BM-041/CFD-BM-041-035-N.jpg,m,2
1,2,38,study,1,female,Black,female,White,neutral,,,,,z,2172,True,False,,2,,,,False,92,BF-231,materials/cfd/Images/CFD/BF-231/CFD-BF-231-202-N.jpg,WF-248,materials/cfd/Images/CFD/WF-248/CFD-WF-248-129-N.jpg,z,2
1,2,39,study,1,female,White,male,Black,happy,,,,,z,2026,True,False,,2,,,,False,94,WF-036,materials/cfd/Images/CFD/WF-036/CFD-WF-036-023-N.jpg,BM-040,materials/cfd/Images/CFD/BM-040/CFD-BM-040-030-HO.jpg,z,2
1,2,40,study,1,female,Black,male,Black,angry,,,,,z,1051,True,False,,2,,,,False,96,BF-201,materials/cfd/Images/CFD/BF-201/CFD-BF-201-080-N.jpg,BM-019,materials/cfd/Images/CFD/BM-019/CFD-BM-019-045-A.jpg,z,2
1,2,41,study,1,male,Asian,male,Black,neutral,,,,,m,1630,True,False,,2,,,,False,98,AM-224,materials/cfd/Images/CFD/AM-224/CFD-AM-224-126-N.jpg,BM-036,materials/cfd/Images/CFD/BM-036/CFD-BM-036-003-N.jpg,m,2
1,2,42,study,1,male,White,female,White,angry,,,,,m,1868,True,False,,2,,,,False,100,WM-038,materials/cfd/Images/CFD/WM-038/CFD-WM-038-003-N.jpg,WF-028,materials/cfd/Images/CFD/WF-028/CFD-WF-028-026-A.jpg,m,2
1,2,43,study,1,male,Asian,female,Black,happy,,,,,m,1891,True,False,,2,,,,False,102,AM-234,materials/cfd/Images/CFD/AM-234/CFD-AM-234-355-N.jpg,BF-038,materials/cfd/Images/CFD/BF-038/CFD-BF-038-004-HO.jpg,m,2
1,2,44,study,1,female,Latino,female,Black,angry,,,,,z,1534,True,False,,2,,,,False,104,LF-230,materials/cfd/Images/CFD/LF-230/CFD-LF-230-203-N.jpg,BF-036,materials/cfd/Images/CFD/BF-036/CFD-BF-036-020-A.jpg,z,2
1,2,45,study,1,male,Asian,male,White,happy,,,,,m,1402,True,False,,2,,,,False,106,AM-207,materials/cfd/Images/CFD/AM-207/CFD-AM-207-108-N.jpg,WM-004,materials/cfd/Images/CFD/WM-004/CFD-WM-004-006-HO.jpg,m,2
1,2,46,study,1,female,White,male,White,angry,,,,,z,932,True,False,,2,,,,False,108,WF-039,materials/cfd/Images/CFD/WF-039/CFD-WF-039-025-N.jpg,WM-028,materials/cfd/Images/CFD/WM-028/CFD-WM-028-029-A.jpg,z,2
1,2,47,study,1,female,White,male,Black,neutral,,,,,m,912,False,False,,2,,,,False,110,WF-008,materials/cfd/Images/CFD/WF-008/CFD-WF-008-002-N.jpg,BM-235,materials/cfd/Images/CFD/BM-235/CFD-BM-235-226-N.jpg,z,2
1,2,48,study,1,male,Black,male,White,happy,,,,,m,1550,True,False,,2,,,,False,112,BM-211,materials/cfd/Images/CFD/BM-211/CFD-BM-211-174-N.jpg,WM-036,materials/cfd/Images/CFD/WM-036/CFD-WM-036-034-HO.jpg,m,2
1,2,49,study,1,male,Asian,male,White,angry,,,,,m,974,True,False,,2,,,,False,114,AM-203,materials/cfd/Images/CFD/AM-203/CFD-AM-203-086-N.jpg,WM-020,materials/cfd/Images/CFD/WM-020/CFD-WM-020-008-A.jpg,m,2
1,2,50,study,1,female,Latino,female,Black,happy,,,,,z,1074,True,False,,2,,,,False,116,LF-225,materials/cfd/Images/CFD/LF-225/CFD-LF-225-164-N.jpg,BF-040,materials/cfd/Images/CFD/BF-040/CFD-BF-040-043-HO.jpg,z,2
1,2,51,study,1,female,Latino,female,Black,angry,,,,,z,1287,True,False,,2,,,,False,118,LF-241,materials/cfd/Images/CFD/LF-241/CFD-LF-241-188-N.jpg,BF-010,materials/cfd/Images/CFD/BF-010/CFD-BF-010-019-A.jpg,z,2
1,2,52,study,1,male,Black,female,Black,neutral,,,,,m,1936,True,False,,2,,,,False,120,BM-027,materials/cfd/Images/CFD/BM-027/CFD-BM-027-001-N.jpg,BF-048,materials/cfd/Images/CFD/BF-048/CFD-BF-048-002-N.jpg,m,2
1,2,53,study,1,female,Latino,female,Black,happy,,,,,z,1780,True,False,,2,,,,False,122,LF-253,materials/cfd/Images/CFD/LF-253/CFD-LF-253-003-N.jpg,BF-041,materials/cfd/Images/CFD/BF-041/CFD-BF-041-004-HO.jpg,z,2
1,2,54,study,1,male,White,female,White,neutral,,,,,m,1517,True,False,,2,,,,False,124,WM-025,materials/cfd/Images/CFD/WM-025/CFD-WM-025-002-N.jpg,WF-037,materials/cfd/Images/CFD/WF-037/CFD-WF-037-029-N.jpg,m,2
1,2,55,study,1,male,White,male,Black,neutral,,,,,m,2859,True,False,,2,,,,False,126,WM-248,materials/cfd/Images/CFD/WM-248/CFD-WM-248-036-N.jpg,BM-025,materials/cfd/Images/CFD/BM-025/CFD-BM-025-035-N.jpg,m,2
1,2,56,study,1,female,Latino,female,Black,angry,,,,,z,2827,True,False,,2,,,,False,128,LF-244,materials/cfd/Images/CFD/LF-244/CFD-LF-244-096-N.jpg,BF-005,materials/cfd/Images/CFD/BF-005/CFD-BF-005-020-A.jpg,z,2
1,2,57,study,1,female,Latino,female,White,angry,,,,,,,False,True,,2,,,,False,130,LF-255,materials/cfd/Images/CFD/LF-255/CFD-LF-255-088-N.jpg,WF-022,materials/cfd/Images/CFD/WF-022/CFD-WF-022-023-A.jpg,z,2
1,2,58,study,1,male,Latino,female,Black,neutral,,,,,m,613,True,False,,2,,,,False,132,LM-225,materials/cfd/Images/CFD/LM-225/CFD-LM-225-130-N.jpg,BF-233,materials/cfd/Images/CFD/BF-233/CFD-BF-233-116-N.jpg,m,2
1,2,59,study,1,male,Latino,male,Black,angry,,,,,m,1300,True,False,,2,,,,False,134,LM-219,materials/cfd/Images/CFD/LM-219/CFD-LM-219-295-N.jpg,BM-046,materials/cfd/Images/CFD/BM-046/CFD-BM-046-048-A.jpg,m,2
1,2,60,study,1,male,Latino,female,Black,neutral,,,,,m,1946,True,False,,2,,,,False,136,LM-221,materials/cfd/Images/CFD/LM-221/CFD-LM-221-216-N.jpg,BF-238,materials/cfd/Images/CFD/BF-238/CFD-BF-238-190-N.jpg,m,2
1,2,61,study,0,male,Black,male,White,happy,,,,,m,516,True,False,,2,,,,False,139,BM-211,materials/cfd/Images/CFD/BM-211/CFD-BM-211-174-N.jpg,WM-036,materials/cfd/Images/CFD/WM-036/CFD-WM-036-034-HO.jpg,m,2
1,2,62,study,0,female,Latino,female,Black,angry,,,,,z,1217,True,False,,2,,,,False,141,LF-244,materials/cfd/Images/CFD/LF-244/CFD-LF-244-096-N.jpg,BF-005,materials/cfd/Images/CFD/BF-005/CFD-BF-005-020-A.jpg,z,2
1,2,63,study,0,male,White,male,Black,angry,,,,,m,1484,True,False,,2,,,,False,143,WM-209,materials/cfd/Images/CFD/WM-209/CFD-WM-209-038-N.jpg,BM-043,materials/cfd/Images/CFD/BM-043/CFD-BM-043-014-A.jpg,m,2
1,2,64,study,0,female,Latino,female,Black,happy,,,,,z,1502,True,False,,2,,,,False,145,LF-253,materials/cfd/Images/CFD/LF-253/CFD-LF-253-003-N.jpg,BF-041,materials/cfd/Images/CFD/BF-041/CFD-BF-041-004-HO.jpg,z,2
1,2,65,study,0,male,Asian,male,White,happy,,,,,m,977,True,False,,2,,,,False,147,AM-207,materials/cfd/Images/CFD/AM-207/CFD-AM-207-108-N.jpg,WM-004,materials/cfd/Images/CFD/WM-004/CFD-WM-004-006-HO.jpg,m,2
1,2,66,study,0,male,Black,female,Black,neutral,,,,,m,958,True,False,,2,,,,False,149,BM-027,materials/cfd/Images/CFD/BM-027/CFD-BM-027-001-N.jpg,BF-048,materials/cfd/Images/CFD/BF-048/CFD-BF-048-002-N.jpg,m,2
1,2,67,study,0,female,Black,male,Black,happy,,,,,z,1345,True,False,,2,,,,False,151,BF-042,materials/cfd/Images/CFD/BF-042/CFD-BF-042-026-N.jpg,BM-039,materials/cfd/Images/CFD/BM-039/CFD-BM-039-034-HO.jpg,z,2
1,2,68,study,0,male,Latino,female,White,angry,,,,,m,1149,True,False,,2,,,,False,153,LM-203,materials/cfd/Images/CFD/LM-203/CFD-LM-203-026-N.jpg,WF-019,materials/cfd/Images/CFD/WF-019/CFD-WF-019-015-A.jpg,m,2
1,2,69,study,0,female,Black,female,White,happy,,,,,z,1152,True,False,,2,,,,False,155,BF-250,materials/cfd/Images/CFD/BF-250/CFD-BF-250-121-N.jpg,WF-005,materials/cfd/Images/CFD/WF-005/CFD-WF-005-013-HO.jpg,z,2
1,2,70,study,0,male,Black,female,Black,neutral,,,,,m,1267,True,False,,2,,,,False,157,BM-017,materials/cfd/Images/CFD/BM-017/CFD-BM-017-021-N.jpg,BF-008,materials/cfd/Images/CFD/BF-008/CFD-BF-008-001-N.jpg,m,2
1,2,71,study,0,female,White,male,White,angry,,,,,z,790,True,False,,2,,,,False,159,WF-012,materials/cfd/Images/CFD/WF-012/CFD-WF-012-002-N.jpg,WM-015,materials/cfd/Images/CFD/WM-015/CFD-WM-015-017-A.jpg,z,2
1,2,72,study,0,female,Asian,female,Black,happy,,,,,z,684,True,False,,2,,,,False,161,AF-220,materials/cfd/Images/CFD/AF-220/CFD-AF-220-107-N.jpg,BF-011,materials/cfd/Images/CFD/BF-011/CFD-BF-011-004-HO.jpg,z,2
1,2,73,study,0,male,Latino,female,Black,happy,,,,,m,980,True,False,,2,,,,False,163,LM-238,materials/cfd/Images/CFD/LM-238/CFD-LM-238-129-N.jpg,BF-039,materials/cfd/Images/CFD/BF-039/CFD-BF-039-033-HO.jpg,m,2
1,2,74,study,0,male,Asian,male,Black,angry,,,,,m,906,True,False,,2,,,,False,165,AM-204,materials/cfd/Images/CFD/AM-204/CFD-AM-204-122-N.jpg,BM-002,materials/cfd/Images/CFD/BM-002/CFD-BM-002-016-A.jpg,m,2
1,2,75,study,0,female,White,male,Black,happy,,,,,z,907,True,False,,2,,,,False,167,WF-036,materials/cfd/Images/CFD/WF-036/CFD-WF-036-023-N.jpg,BM-040,materials/cfd/Images/CFD/BM-040/CFD-BM-040-030-HO.jpg,z,2
1,2,76,study,0,female,Asian,male,Black,neutral,,,,,z,1257,True,False,,2,,,,False,169,AF-253,materials/cfd/Images/CFD/AF-253/CFD-AF-253-130-N.jpg,BM-218,materials/cfd/Images/CFD/BM-218/CFD-BM-218-132-N.jpg,z,2
1,2,77,study,0,female,Latino,female,White,angry,,,,,z,1097,True,False,,2,,,,False,171,LF-255,materials/cfd/Images/CFD/LF-255/CFD-LF-255-088-N.jpg,WF-022,materials/cfd/Images/CFD/WF-022/CFD-WF-022-023-A.jpg,z,2
1,2,78,study,0,male,Black,male,White,happy,,,,,m,716,True,False,,2,,,,False,173,BM-034,materials/cfd/Images/CFD/BM-034/CFD-BM-034-031-N.jpg,WM-037,materials/cfd/Images/CFD/WM-037/CFD-WM-037-034-HO.jpg,m,2
1,2,79,study,0,female,Black,female,White,neutral,,,,,z,2288,True,False,,2,,,,False,175,BF-231,materials/cfd/Images/CFD/BF-231/CFD-BF-231-202-N.jpg,WF-248,materials/cfd/Images/CFD/WF-248/CFD-WF-248-129-N.jpg,z,2
1,2,80,study,0,female,Latino,male,Black,angry,,,,,z,973,True,False,,2,,,,False,177,LF-238,materials/cfd/Images/CFD/LF-238/CFD-LF-238-154-N.jpg,BM-005,materials/cfd/Images/CFD/BM-005/CFD-BM-005-010-A.jpg,z,2
1,2,81,study,0,male,Black,male,White,angry,,,,,m,790,True,False,,2,,,,False,179,BM-004,materials/cfd/Images/CFD/BM-004/CFD-BM-004-002-N.jpg,WM-021,materials/cfd/Images/CFD/WM-021/CFD-WM-021-009-A.jpg,m,2
1,2,82,study,0,male,Latino,female,Black,happy,,,,,m,2123,True,False,,2,,,,False,181,LM-226,materials/cfd/Images/CFD/LM-226/CFD-LM-226-175-N.jpg,BF-015,materials/cfd/Images/CFD/BF-015/CFD-BF-015-006-HO.jpg,m,2
1,2,83,study,0,male,Asian,male,Black,neutral,,,,,m,1244,True,False,,2,,,,False,183,AM-224,materials/cfd/Images/CFD/AM-224/CFD-AM-224-126-N.jpg,BM-036,materials/cfd/Images/CFD/BM-036/CFD-BM-036-003-N.jpg,m,2
1,2,84,study,0,male,Latino,female,Black,neutral,,,,,m,1513,True,False,,2,,,,False,185,LM-221,materials/cfd/Images/CFD/LM-221/CFD-LM-221-216-N.jpg,BF-238,materials/cfd/Images/CFD/BF-238/CFD-BF-238-190-N.jpg,m,2
1,2,85,study,0,male,Asian,female,Black,happy,,,,,m,2721,True,False,,2,,,,False,187,AM-234,materials/cfd/Images/CFD/AM-234/CFD-AM-234-355-N.jpg,BF-038,materials/cfd/Images/CFD/BF-038/CFD-BF-038-004-HO.jpg,m,2
1,2,86,study,0,female,Latino,female,Black,happy,,,,,z,1316,True,False,,2,,,,False,189,LF-225,materials/cfd/Images/CFD/LF-225/CFD-LF-225-164-N.jpg,BF-040,materials/cfd/Images/CFD/BF-040/CFD-BF-040-043-HO.jpg,z,2
1,2,87,study,0,female,Black,male,White,neutral,,,,,z,778,True,False,,2,,,,False,191,BF-246,materials/cfd/Images/CFD/BF-246/CFD-BF-246-170-N.jpg,WM-250,materials/cfd/Images/CFD/WM-250/CFD-WM-250-157-N.jpg,z,2
1,2,88,study,0,female,White,male,Black,neutral,,,,,z,2451,True,False,,2,,,,False,193,WF-008,materials/cfd/Images/CFD/WF-008/CFD-WF-008-002-N.jpg,BM-235,materials/cfd/Images/CFD/BM-235/CFD-BM-235-226-N.jpg,z,2
1,2,89,study,0,male,White,male,White,happy,,,,,m,1390,True,False,,2,,,,False,195,WM-201,materials/cfd/Images/CFD/WM-201/CFD-WM-201-063-N.jpg,WM-009,materials/cfd/Images/CFD/WM-009/CFD-WM-009-004-HO.jpg,m,2
1,2,90,study,0,female,Black,female,White,angry,,,,,m,2820,False,False,,2,,,,False,197,BF-016,materials/cfd/Images/CFD/BF-016/CFD-BF-016-017-N.jpg,WF-025,materials/cfd/Images/CFD/WF-025/CFD-WF-025-015-A.jpg,z,2
1,2,91,study,1,female,Latino,male,Black,happy,,,,,z,1620,True,False,,2,,,,False,200,LF-220,materials/cfd/Images/CFD/LF-220/CFD-LF-220-120-N.jpg,BM-011,materials/cfd/Images/CFD/BM-011/CFD-BM-011-017-HO.jpg,z,2
