subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,2,116,test,1,male,White,male,Black,neutral,,,,rearranged,z,972,True,False,
1,2,117,test,1,male,White,female,Black,neutral,,,,rearranged,m,1120,False,False,
1,2,118,test,1,male,Black,female,Black,angry,,,,intact,z,1033,False,False,
1,2,119,test,1,male,Asian,female,Black,angry,,,,rearranged,z,970,True,False,
1,2,120,test,1,male,Latino,female,Black,happy,,,,rearranged,z,1067,True,False,
2,2,1,study,0,male,Latino,female,Black,angry,,,,,z,2207,False,False,
2,2,2,study,0,female,Black,male,Black,neutral,,,,,m,1506,False,False,
2,2,3,study,0,male,Latino,male,Black,happy,,,,,m,953,True,False,
2,2,4,study,0,female,Black,female,White,angry,,,,,z,2106,True,False,
2,2,5,study,0,female,White,male,White,happy,,,,,m,2821,False,False,
2,2,6,study,0,male,Black,male,White,happy,,,,,m,837,True,False,
2,2,7,study,0,female,Latino,female,Black,angry,,,,,z,794,True,False,
2,2,8,study,0,male,White,male,Black,neutral,,,,,m,702,True,False,
2,2,9,study,0,male,Asian,female,Black,angry,,,,,m,1733,True,False,
2,2,10,study,0,female,Black,male,Black,angry,,,,,z,1400,True,False,
2,2,11,study,0,female,Black,female,White,happy,,,,,z,855,True,False,
2,2,12,study,0,female,Latino,female,White,neutral,,,,,z,1041,True,False,
2,2,13,study,0,female,Latino,male,White,happy,,,,,z,903,True,False,
2,2,14,study,0,female,Asian,female,White,angry,,,,,z,710,True,False,
2,2,15,study,0,female,Black,female,Black,happy,,,,,z,635,True,False,
2,2,16,study,0,female,White,male,Black,happy,,,,,z,893,True,False,
2,2,17,study,0,female,Black,female,White,happy,,,,,z,763,True,False,
2,2,18,study,0,female,White,female,White,angry,,,,,z,710,True,False,
2,2,19,study,0,male,Black,male,White,angry,,,,,m,890,True,False,
2,2,20,study,0,female,White,male,Black,angry,,,,,z,1851,True,False,
2,2,21,study,0,female,Black,male,White,neutral,,,,,z,1159,True,False,
2,2,22,study,0,male,Asian,female,Black,happy,,,,,m,799,True,False,
2,2,23,study,0,male,White,male,White,happy,,,,,m,1320,True,False,
2,2,24,study,0,male,Asian,male,White,angry,,,,,m,1636,True,False,
2,2,25,study,0,female,Black,male,White,happy,,,,,z,1205,True,False,
2,2,26,study,0,male,Latino,female,White,neutral,,,,,m,1693,True,False,
2,2,27,study,0,male,Latino,male,Black,neutral,,,,,z,1047,False,False,
2,2,28,study,0,male,Black,female,White,angry,,,,,m,1236,True,False,
2,2,29,study,0,female,Black,male,Black,neutral,,,,,z,825,True,False,
2,2,30,study,0,male,Asian,female,White,neutral,,,,,m,909,True,False,
2,2,31,study,1,male,White,male,White,angry,,,,,m,1087,True,False,
2,2,32,study,1,female,Latino,male,White,angry,,,,,z,515,True,False,
2,2,33,study,1,male,Asian,female,Black,happy,,,,,m,502,True,False,
2,2,34,study,1,female,Black,male,Black,angry,,,,,z,518,True,False,
2,2,35,study,1,male,Asian,female,White,angry,,,,,m,574,True,False,
2,2,36,study,1,female,Black,female,White,neutral,,,,,z,601,True,False,
2,2,37,study,1,male,Asian,female,White,happy,,,,,m,618,True,False,
2,2,38,study,1,female,Latino,male,White,angry,,,,,m,733,False,False,
2,2,39,study,1,female,Latino,female,Black,happy,,,,,z,2341,True,False,
2,2,40,study,1,male,Black,female,Black,angry,,,,,m,774,True,False,
2,2,41,study,1,female,Asian,female,White,neutral,,,,,z,659,True,False,
2,2,42,study,1,male,White,male,White,neutral,,,,,m,778,True,False,
2,2,43,study,1,female,Black,male,White,neutral,,,,,z,972,True,False,
2,2,44,study,1,male,White,male,Black,angry,,,,,m,728,True,False,
2,2,45,study,1,female,White,female,Black,happy,,,,,z,1225,True,False,
2,2,46,study,1,male,Latino,male,Black,happy,,,,,m,635,True,False,
2,2,47,study,1,female,Asian,male,Black,neutral,,,,,z,768,True,False,
2,2,48,study,1,female,Black,female,Black,angry,,,,,z,571,True,False,
2,2,49,study,1,male,Asian,male,White,neutral,,,,,m,621,True,False,
2,2,50,study,1,male,White,female,Black,happy,,,,,m,1546,True,False,
2,2,51,study,1,female,Asian,female,White,neutral,,,,,z,1446,True,False,
2,2,52,study,1,male,Asian,male,Black,neutral,,,,,m,760,True,False,
2,2,53,study,1,female,White,male,Black,happy,,,,,z,563,True,False,
2,2,54,study,1,male,White,female,White,neutral,,,,,m,817,True,False,
2,2,55,study,1,male,Black,female,Black,happy,,,,,m,937,True,False,
2,2,56,study,1,male,Latino,female,Black,neutral,,,,,m,1355,True,False,
2,2,57,study,1,male,Latino,male,White,happy,,,,,m,1035,True,False,
2,2,58,study,1,male,White,male,White,angry,,,,,m,592,True,False,
2,2,59,study,1,female,White,female,Black,neutral,,,,,z,609,True,False,
2,2,60,study,1,male,Black,female,White,neutral,,,,,m,1984,True,False,
2,2,61,test,0,male,Asian,female,Black,happy,,,,intact,m,384,True,False,
2,2,62,test,0,female,Black,male,Black,neutral,,,,intact,m,271,True,False,
2,2,63,test,0,female,Asian,female,Black,angry,,,,rearranged,z,208,True,False,
2,2,64,test,0,male,Black,female,Black,happy,,,,intact,z,464,False,False,
2,2,65,test,0,female,White,male,White,happy,,,,intact,m,566,True,False,
2,2,66,test,0,male,White,male,White,neutral,,,,intact,m,276,True,False,
2,2,67,test,0,female,Black,female,Black,happy,,,,rearranged,m,263,False,False,
2,2,68,test,0,male,Black,male,Black,happy,,,,rearranged,z,249,True,False,
2,2,69,test,0,male,Latino,male,Black,happy,,,,rearranged,z,202,True,False,
2,2,70,test,0,female,Latino,male,White,angry,,,,intact,m,80,True,False,
2,2,71,test,0,male,Latino,male,White,happy,,,,rearranged,m,62,False,False,
2,2,72,test,0,male,White,female,White,happy,,,,rearranged,m,211,False,False,
2,2,73,test,0,male,Latino,female,White,neutral,,,,intact,z,363,False,False,
2,2,74,test,0,male,Asian,female,Black,happy,,,,rearranged,z,145,True,False,
2,2,75,test,0,male,Asian,male,White,angry,,,,intact,z,395,False,False,
2,2,76,test,0,male,Asian,female,White,neutral,,,,rearranged,m,238,False,False,
2,2,77,test,0,female,Asian,female,White,neutral,,,,intact,m,243,True,False,
2,2,78,test,0,male,White,male,White,angry,,,,intact,m,280,True,False,
2,2,79,test,0,male,Black,female,Black,angry,,,,intact,z,203,False,False,
2,2,80,test,0,male,Asian,male,White,neutral,,,,rearranged,z,198,True,False,
2,2,81,test,0,female,Black,male,White,neutral,,,,intact,z,247,False,False,
2,2,82,test,0,female,White,female,White,angry,,,,rearranged,z,209,True,False,
2,2,83,test,0,male,White,male,White,angry,,,,rearranged,m,222,False,False,
2,2,84,test,0,male,Asian,female,White,angry,,,,rearranged,m,228,False,False,
2,2,85,test,0,male,Latino,female,White,neutral,,,,rearranged,z,218,True,False,
2,2,86,test,0,male,White,male,Black,neutral,,,,rearranged,m,328,False,False,
2,2,87,test,0,female,Latino,female,Black,happy,,,,intact,z,256,False,False,
2,2,88,test,0,female,Black,male,Black,neutral,,,,rearranged,m,383,False,False,
2,2,89,test,0,female,Asian,male,White,neutral,,,,rearranged,z,338,True,False,
2,2,90,test,0,female,Black,female,White,angry,,,,intact,m,1194,True,False,
2,2,91,test,1,female,Black,female,White,happy,,,,intact,m,307,True,False,
2,2,92,test,1,female,Latino,female,White,angry,,,,rearranged,m,182,False,False,
2,2,93,test,1,male,Asian,female,Black,angry,,,,rearranged,m,194,False,False,
2,2,94,test,1,male,Latino,female,Black,angry,,,,intact,z,202,False,False,
2,2,95,test,1,female,Black,male,Black,neutral,,,,rearranged,z,247,True,False,
2,2,96,test,1,male,Asian,female,Black,happy,,,,rearranged,m,227,False,False,
2,2,97,test,1,female,Black,female,Black,neutral,,,,rearranged,m,704,False,False,
2,2,98,test,1,female,Latino,female,White,neutral,,,,rearranged,z,318,True,False,
2,2,99,test,1,male,White,male,White,angry,,,,rearranged,z,275,True,False,
2,2,100,test,1,female,Black,female,Black,angry,,,,intact,m,248,True,False,
2,2,101,test,1,female,Asian,female,White,neutral,,,,intact,z,441,False,False,
2,2,102,test,1,male,White,female,White,neutral,,,,intact,m,401,True,False,
2,2,103,test,1,male,Latino,male,White,happy,,,,intact,m,275,True,False,
2,2,104,test,1,female,White,male,Black,happy,,,,rearranged,m,226,False,False,
2,2,105,test,1,female,White,male,White,angry,,,,rearranged,z,234,True,False,
2,2,106,test,1,male,Asian,male,Black,neutral,,,,rearranged,m,196,False,False,
2,2,107,test,1,female,Black,female,Black,happy,,,,rearranged,z,244,True,False,
2,2,108,test,1,female,Latino,male,Black,angry,,,,rearranged,z,210,True,False,
2,2,109,test,1,female,White,female,White,happy,,,,rearranged,z,246,True,False,
2,2,110,test,1,female,Black,male,Black,angry,,,,intact,z,207,False,False,
2,2,111,test,1,male,White,male,White,happy,,,,intact,m,245,True,False,
2,2,112,test,1,female,Black,male,Black,happy,,,,rearranged,m,139,False,False,
2,2,113,test,1,female,Black,male,Black,angry,,,,rearranged,z,381,True,False,
2,2,114,test,1,female,White,male,White,happy,,,,rearranged,z,237,True,False,
2,2,115,test,1,male,Black,male,Black,angry,,,,rearranged,m,281,False,False,
2,2,116,test,1,male,Latino,male,Black,neutral,,,,intact,m,285,True,False,
2,2,117,test,1,female,Latino,male,White,happy,,,,intact,m,323,True,False,
2,2,118,test,1,male,Black,female,White,angry,,,,rearranged,z,288,True,False,
2,2,119,test,1,female,White,female,White,neutral,,,,rearranged,z,445,True,False,
2,2,120,test,1,male,Black,female,Black,neutral,,,,rearranged,z,349,True,False,
3,2,1,study,0,female,Latino,male,White,happy,,,,,z,1008,True,False,
3,2,2,study,0,male,Black,female,Black,angry,,,,,m,794,True,False,
3,2,3,study,0,male,White,female,Black,angry,,,,,m,901,True,False,
3,2,4,study,0,male,Latino,male,White,angry,,,,,m,627,True,False,
3,2,5,study,0,female,Asian,female,White,neutral,,,,,z,601,True,False,
3,2,6,study,0,female,White,female,Black,happy,,,,,z,1152,True,False,
3,2,7,study,0,male,Latino,female,Black,happy,,,,,m,890,True,False,
3,2,8,study,0,male,Asian,male,Black,happy,,,,,m,981,True,False,
3,2,9,study,0,male,Latino,male,Black,happy,,,,,m,641,True,False,
3,2,10,study,0,male,Asian,female,White,angry,,,,,m,791,True,False,
3,2,11,study,0,male,White,female,Black,neutral,,,,,m,512,True,False,
3,2,12,study,0,female,White,female,Black,neutral,,,,,z,390,True,False,
3,2,13,study,0,male,Latino,male,Black,neutral,,,,,m,902,True,False,
3,2,14,study,0,male,White,male,Black,happy,,,,,m,728,True,False,
3,2,15,study,0,male,Black,male,Black,angry,,,,,m,1308,True,False,
3,2,16,study,0,male,Black,female,Black,neutral,,,,,m,635,True,False,
3,2,17,study,0,male,Latino,female,White,neutral,,,,,m,536,True,False,
3,2,18,study,0,male,White,female,Black,neutral,,,,,m,494,True,False,
3,2,19,study,0,male,Latino,female,Black,angry,,,,,m,665,True,False,
3,2,20,study,0,male,Asian,male,Black,angry,,,,,m,611,True,False,
3,2,21,study,0,female,Asian,male,White,neutral,,,,,z,783,True,False,
3,2,22,study,0,female,Black,female,White,angry,,,,,z,537,True,False,
3,2,23,study,0,male,Black,female,Black,happy,,,,,m,610,True,False,
3,2,24,study,0,female,Asian,male,Black,neutral,,,,,z,1443,True,False,
3,2,25,study,0,female,Asian,female,White,angry,,,,,z,1674,True,False,
3,2,26,study,0,male,Asian,female,Black,angry,,,,,m,949,True,False,
3,2,27,study,0,male,Latino,male,Black,neutral,,,,,m,795,True,False,
3,2,28,study,0,female,Latino,male,White,angry,,,,,z,1165,True,False,
3,2,29,study,0,female,Black,male,White,happy,,,,,z,1463,True,False,
3,2,30,study,0,male,White,female,Black,neutral,,,,,m,940,True,False,
3,2,31,study,1,female,Black,male,White,neutral,,,,,z,1173,True,False,
3,2,32,study,1,female,Asian,female,White,happy,,,,,z,812,True,False,
3,2,33,study,1,female,Black,male,Black,neutral,,,,,z,764,True,False,
3,2,34,study,1,male,White,female,White,happy,,,,,m,1065,True,False,
3,2,35,study,1,female,Black,female,Black,neutral,,,,,z,1047,True,False,
3,2,36,study,1,female,Latino,female,Black,angry,,,,,z,1071,True,False,
3,2,37,study,1,female,White,male,White,neutral,,,,,z,656,True,False,
3,2,38,study,1,female,White,female,Black,happy,,,,,z,490,True,False,
3,2,39,study,1,male,White,male,Black,happy,,,,,m,603,True,False,
3,2,40,study,1,male,Black,male,White,neutral,,,,,m,623,True,False,
3,2,41,study,1,female,Black,female,White,neutral,,,,,z,553,True,False,
3,2,42,study,1,male,Black,male,Black,neutral,,,,,m,1046,True,False,
3,2,43,study,1,female,White,female,Black,neutral,,,,,z,1020,True,False,
3,2,44,study,1,female,Black,male,Black,angry,,,,,z,656,True,False,
3,2,45,study,1,female,Latino,female,White,angry,,,,,z,872,True,False,
3,2,46,study,1,female,Asian,male,White,happy,,,,,z,786,True,False,
3,2,47,study,1,female,Asian,male,White,happy,,,,,z,491,True,False,
3,2,48,study,1,male,Black,male,White,angry,,,,,m,626,True,False,
3,2,49,study,1,female,White,male,Black,angry,,,,,z,672,True,False,
3,2,50,study,1,male,White,male,White,happy,,,,,m,928,True,False,
3,2,51,study,1,male,Black,female,Black,happy,,,,,m,1211,True,False,
3,2,52,study,1,female,Latino,female,White,angry,,,,,z,626,True,False,
3,2,53,study,1,female,White,female,White,happy,,,,,z,1036,True,False,
3,2,54,study,1,female,Asian,male,White,angry,,,,,z,1262,True,False,
3,2,55,study,1,female,Asian,male,Black,angry,,,,,z,1307,True,False,
3,2,56,study,1,male,Latino,female,White,happy,,,,,m,1279,True,False,
3,2,57,study,1,male,Black,male,Black,neutral,,,,,m,573,True,False,
3,2,58,study,1,female,Latino,male,Black,happy,,,,,z,1052,True,False,
3,2,59,study,1,female,White,female,White,happy,,,,,z,1073,True,False,
3,2,60,study,1,male,Black,male,Black,angry,,,,,m,810,True,False,
3,2,61,test,0,male,Black,male,White,angry,,,,intact,z,1665,True,False,
3,2,62,test,0,female,White,female,Black,neutral,,,,rearranged,m,1382,True,False,
3,2,63,test,0,female,Latino,female,White,angry,,,,rearranged,m,1433,True,False,
3,2,64,test,0,female,Latino,male,White,happy,,,,rearranged,z,950,False,False,
3,2,65,test,0,female,White,male,White,neutral,,,,intact,m,1449,False,False,
3,2,66,test,0,male,White,female,Black,happy,,,,rearranged,z,1426,False,False,
3,2,67,test,0,female,Latino,female,Black,angry,,,,intact,m,1469,False,False,
3,2,68,test,0,male,Black,male,Black,neutral,,,,rearranged,m,2812,True,False,
3,2,69,test,0,male,Asian,male,Black,angry,,,,rearranged,z,1259,False,False,
3,2,70,test,0,male,Black,female,Black,neutral,,,,rearranged,z,1799,False,False,
3,2,71,test,0,male,Black,female,Black,happy,,,,intact,z,1494,True,False,
3,2,72,test,0,female,White,female,Black,happy,,,,rearranged,m,963,True,False,
3,2,73,test,0,male,Black,female,Black,angry,,,,rearranged,z,2027,False,False,
3,2,74,test,0,female,Black,male,White,happy,,,,intact,m,1041,False,False,
3,2,75,test,0,female,Black,female,White,neutral,,,,intact,m,2898,False,False,
3,2,76,test,0,female,White,male,Black,angry,,,,intact,m,1120,False,False,
3,2,77,test,0,male,Latino,female,White,happy,,,,rearranged,m,1212,True,False,
3,2,78,test,0,female,Asian,male,White,happy,,,,intact,m,1905,False,False,
3,2,79,test,0,female,Black,male,Black,neutral,,,,rearranged,z,1391,False,False,
3,2,80,test,0,female,Black,male,White,neutral,,,,rearranged,m,1301,True,False,
3,2,81,test,0,male,Black,male,Black,neutral,,,,intact,m,1818,False,False,
3,2,82,test,0,male,Asian,male,Black,happy,,,,intact,m,2059,False,False,
3,2,83,test,0,female,Asian,male,Black,happy,,,,rearranged,m,1063,True,False,
3,2,84,test,0,male,White,male,Black,happy,,,,rearranged,m,951,True,False,
3,2,85,test,0,female,Asian,male,Black,angry,,,,intact,m,1536,False,False,
3,2,86,test,0,male,Latino,female,White,happy,,,,intact,m,911,False,False,
3,2,87,test,0,male,Black,male,White,angry,,,,rearranged,m,940,True,False,
3,2,88,test,0,female,Asian,male,White,neutral,,,,intact,z,1816,True,False,
3,2,89,test,0,male,Latino,male,White,neutral,,,,rearranged,z,816,False,False,
3,2,90,test,0,female,Asian,male,Black,neutral,,,,rearranged,m,1326,True,False,
3,2,91,test,1,male,Black,male,Black,neutral,,,,rearranged,z,1149,False,False,
3,2,92,test,1,male,White,male,White,happy,,,,rearranged,z,982,False,False,
3,2,93,test,1,male,Latino,female,Black,angry,,,,rearranged,m,1894,True,False,
3,2,94,test,1,male,Asian,female,White,angry,,,,intact,z,1957,True,False,
3,2,95,test,1,male,White,male,Black,happy,,,,intact,z,1951,True,False,
3,2,96,test,1,male,Latino,male,Black,angry,,,,rearranged,z,1426,False,False,
3,2,97,test,1,male,Black,female,Black,happy,,,,rearranged,z,1535,False,False,
3,2,98,test,1,female,White,female,White,happy,,,,rearranged,m,1303,True,False,
3,2,99,test,1,female,Black,female,White,angry,,,,rearranged,m,2544,True,False,
3,2,100,test,1,male,Asian,female,Black,angry,,,,rearranged,m,896,True,False,
3,2,101,test,1,female,Asian,female,White,happy,,,,intact,z,1183,True,False,
3,2,102,test,1,male,White,female,Black,neutral,,,,rearranged,m,969,True,False,
3,2,103,test,1,female,White,female,Black,neutral,,,,rearranged,m,886,True,False,
3,2,104,test,1,female,Latino,male,White,angry,,,,rearranged,m,1209,True,False,
3,2,105,test,1,female,Black,female,Black,neutral,,,,rearranged,m,2644,True,False,
3,2,106,test,1,female,Asian,male,Black,angry,,,,rearranged,m,1409,True,False,
3,2,107,test,1,female,Asian,female,White,angry,,,,intact,m,662,False,False,
3,2,108,test,1,male,Latino,male,Black,neutral,,,,intact,z,1270,True,False,
3,2,109,test,1,male,White,female,Black,neutral,,,,rearranged,m,1152,True,False,
3,2,110,test,1,female,White,female,White,happy,,,,rearranged,m,1384,True,False,
3,2,111,test,1,female,Latino,female,White,angry,,,,rearranged,m,2086,True,False,
3,2,112,test,1,male,Latino,female,White,neutral,,,,intact,m,1030,False,False,
3,2,113,test,1,female,Black,male,White,angry,,,,rearranged,m,1462,True,False,
3,2,114,test,1,female,Asian,female,White,neutral,,,,intact,m,2551,False,False,
3,2,115,test,1,male,Latino,male,Black,happy,,,,rearranged,z,1411,False,False,
3,2,116,test,1,male,White,female,Black,angry,,,,intact,z,2043,True,False,
3,2,117,test,1,male,White,female,Black,neutral,,,,intact,m,1286,False,False,
3,2,118,test,1,female,Latino,male,White,happy,,,,rearranged,m,1374,True,False,
3,2,119,test,1,female,White,female,Black,happy,,,,intact,z,863,True,False,
3,2,120,test,1,male,Black,male,Black,angry,,,,intact,z,972,True,False,
4,2,1,study,0,male,Asian,female,Black,angry,,,,,m,706,True,False,
